arrival_time_s,packet_size_bytes,backlog_bytes,departure_time_s,waiting_time_s,dropped,cum_drops
1.068013959,147,33811,1.343673334,0.275659375,0,0
1.068370042,57,33579,1.344129334,0.275759292,0,0
1.068396,57,33636,1.344585334,0.276189334,0,0
1.068677417,196,33693,1.346153334,0.277475917,0,0
1.068711334,196,33889,1.347721334,0.27901,0,0
1.068824375,15,34085,1.347841334,0.279016959,0,0
1.068859417,15,34100,1.34821075,0.279351333,0,0
1.068970417,14,34115,1.34832275,0.279352333,0,0
1.069095667,14,34129,1.34843475,0.279339083,0,0
1.069098334,1,34143,1.34844275,0.279344416,0,0
1.069100292,68,34144,1.348991875,0.279891583,0,0
1.069102209,1,34212,1.348999875,0.279897666,0,0
1.069104125,68,34213,1.349571375,0.28046725,0,0
1.0691525,277,34281,1.351787375,0.282634875,0,0
1.069197584,277,34558,1.354003375,0.284805791,0,0
1.069200042,12,34835,1.354099375,0.284899333,0,0
1.069250084,12,34847,1.354661292,0.285411208,0,0
1.069252667,89,34859,1.355373292,0.286120625,0,0
1.069292084,89,34948,1.356085292,0.286793208,0,0
1.069294459,179,35037,1.357517292,0.288222833,0,0
1.069325709,179,35216,1.358949292,0.289623583,0,0
1.069478875,33,35395,1.359213292,0.289734417,0,0
1.069511709,33,35428,1.359499959,0.28998825,0,0
1.070087125,6,35082,1.359547959,0.289460834,0,0
1.07008975,6,35088,1.359595959,0.289506209,0,0
1.070214375,170,35094,1.360955959,0.290741584,0,0
1.070245209,170,35264,1.362315959,0.29207075,0,0
1.070296167,54,35434,1.362747959,0.292451792,0,0
1.070328542,54,35488,1.363179959,0.292851417,0,0
1.070586875,33,35542,1.363443959,0.292857084,0,0
1.070597667,33,35575,1.363707959,0.293110292,0,0
1.070999959,78,35608,1.364331959,0.293332,0,0
1.071004334,78,35686,1.364955959,0.293951625,0,0
1.07130475,34,35764,1.365227959,0.293923209,0,0
1.071307334,34,35798,1.365499959,0.294192625,0,0
1.07145175,1,35832,1.365507959,0.294056209,0,0
1.071476334,1,35833,1.365535417,0.294059083,0,0
1.071566292,473,35834,1.369329875,0.297763583,0,0
1.071593792,473,36307,1.373113875,0.301520083,0,0
1.073022209,241,36553,1.375041875,0.302019666,0,0
1.073049417,241,36794,1.376969875,0.303920458,0,0
1.073345625,93,37035,1.377713875,0.30436825,0,0
1.073350709,43,37128,1.378057875,0.304707166,0,0
1.073378667,93,37171,1.378801875,0.305423208,0,0
1.073381292,43,37264,1.379145875,0.305764583,0,0
1.073833459,91,37307,1.379873875,0.306040416,0,0
1.073837042,91,37398,1.380601875,0.306764833,0,0
1.0741505,87,37489,1.381297875,0.307147375,0,0
1.074154584,87,37576,1.381993875,0.307839291,0,0
1.074276042,632,37663,1.387049875,0.312773833,0,0
1.074278625,632,38295,1.392105875,0.31782725,0,0
1.074283042,43,38927,1.392449875,0.318166833,0,0
1.074285417,43,38970,1.392931542,0.318646125,0,0
1.07452175,67,39013,1.393467542,0.318945792,0,0
1.074544,67,39080,1.394003542,0.319459542,0,0
1.0745465,88,39147,1.394707542,0.320161042,0,0
1.074549167,88,39235,1.395411542,0.320862375,0,0
1.074581417,19,39323,1.395563542,0.320982125,0,0
1.074584875,19,39342,1.395715542,0.321130667,0,0
1.074637875,12,39361,1.395811542,0.321173667,0,0
1.07468725,12,39373,1.395907542,0.321220292,0,0
1.074690334,99,39385,1.396699542,0.322009208,0,0
1.074692334,99,39484,1.397491542,0.322799208,0,0
1.074968917,8,39583,1.397555542,0.322586625,0,0
1.0749715,8,39591,1.397619542,0.322648042,0,0
1.075023,40,39599,1.398016584,0.322993584,0,0
1.075025334,40,39639,1.398336584,0.32331125,0,0
1.075089042,68,39679,1.398880584,0.323791542,0,0
1.075091667,68,39747,1.399424584,0.324332917,0,0
1.075275959,6,39815,1.399472584,0.324196625,0,0
1.075278459,6,39821,1.399520584,0.324242125,0,0
1.075356709,12,39827,1.399616584,0.324259875,0,0
1.075359,12,39839,1.399712584,0.324353584,0,0
1.075412167,47,39851,1.400088584,0.324676417,0,0
1.075414625,47,39898,1.400464584,0.325049959,0,0
1.07559175,39,39945,1.400776584,0.325184834,0,0
1.075626959,39,39757,1.401088584,0.325461625,0,0
1.075760334,39,39796,1.401400584,0.32564025,0,0
1.07579125,39,39835,1.401712584,0.325921334,0,0
1.075793917,150,39874,1.402912584,0.327118667,0,0
1.075825792,150,40024,1.404112584,0.328286792,0,0
1.076730792,30,40174,1.404352584,0.327621792,0,0
1.076733375,30,40204,1.404592584,0.327859209,0,0
1.077036792,298,40234,1.406976584,0.329939792,0,0
1.077039542,298,40532,1.409360584,0.332321042,0,0
1.077149542,142,40830,1.410496584,0.333347042,0,0
1.077152167,142,40972,1.411632584,0.334480417,0,0
1.077342042,5,41114,1.411672584,0.334330542,0,0
1.077344375,5,41119,1.411714917,0.334370542,0,0
1.077526292,24,41124,1.411906917,0.334380625,0,0
1.077530792,24,41148,1.412098917,0.334568125,0,0
1.078286709,69,41080,1.412650917,0.334364208,0,0
1.078289084,69,41149,1.413202917,0.334913833,0,0
1.078533917,26,41218,1.413410917,0.334877,0,0
1.078536334,26,41244,1.413618917,0.335082583,0,0
1.078732,130,41270,1.414658917,0.335926917,0,0
1.078734459,130,41400,1.415698917,0.336964458,0,0
1.079942584,56,41438,1.416146917,0.336204333,0,0
1.079947,56,41494,1.416594917,0.336647917,0,0
1.080675709,86,41550,1.417282917,0.336607208,0,0
1.080682209,86,41504,1.417970917,0.337288708,0,0
1.080684917,69,41590,1.418522917,0.337838,0,0
1.080688084,69,41659,1.419074917,0.338386833,0,0
1.080700709,193,41728,1.420618917,0.339918208,0,0
1.080702875,193,41921,1.422162917,0.341460042,0,0
1.080717542,81,41982,1.422810917,0.342093375,0,0
1.0807205,81,42063,1.423458917,0.342738417,0,0
1.080722625,83,42144,1.424122917,0.343400292,0,0
1.080724709,83,42227,1.424786917,0.344062208,0,0
1.08072675,22,42310,1.424962917,0.344236167,0,0
1.080728792,22,42332,1.425138917,0.344410125,0,0
1.080730959,31,42354,1.425386917,0.344655958,0,0
1.080776834,31,42385,1.425634917,0.344858083,0,0
1.080779459,420,42416,1.428994917,0.348215458,0,0
1.080781542,420,42836,1.432354917,0.351573375,0,0
1.081454917,90,43256,1.433074917,0.35162,0,0
1.081457792,90,43346,1.433886084,0.352428292,0,0
1.082791417,163,43428,1.435190084,0.352398667,0,0
1.082794834,163,43591,1.436494084,0.35369925,0,0
1.082853,7,43754,1.436550084,0.353697084,0,0
1.082918042,7,43594,1.436833042,0.353915,0,0
1.082921209,320,43601,1.439393042,0.356471833,0,0
1.082923292,320,43921,1.441953042,0.35902975,0,0
1.082942542,100,44082,1.442753042,0.3598105,0,0
1.082983084,100,44182,1.443553042,0.360569958,0,0
1.082986125,5,44282,1.443593042,0.360606917,0,0
1.082988292,5,44287,1.443657709,0.360669417,0,0
1.082990417,116,44292,1.444585709,0.361595292,0,0
1.082992417,116,44408,1.445513709,0.362521292,0,0
1.083039834,55,44524,1.445953709,0.362913875,0,0
1.08304275,55,44579,1.446393709,0.363350959,0,0
1.083105917,67,44634,1.446929709,0.363823792,0,0
1.083108667,67,44701,1.447465709,0.364357042,0,0
1.083157334,126,44768,1.448473709,0.365316375,0,0
1.083159834,126,44894,1.449481709,0.366321875,0,0
1.08341125,39,45020,1.449793709,0.366382459,0,0
1.083413959,39,45059,1.450105709,0.36669175,0,0
1.083650875,37,45098,1.450401709,0.366750834,0,0
1.0836535,37,45135,1.450697709,0.367044209,0,0
1.08409,187,45172,1.452193709,0.368103709,0,0
1.084093167,187,45359,1.453689709,0.369596542,0,0
1.084095417,50,45546,1.454089709,0.369994292,0,0
1.084097459,50,45596,1.454489709,0.37039225,0,0
1.0842325,14,45646,1.454601709,0.370369209,0,0
1.084235334,14,45660,1.454713709,0.370478375,0,0
1.084502625,196,45674,1.456281709,0.371779084,0,0
